Argentina	3	0
Australia	8	1
Bosnia and Herzegovina	2	2
Brazil	9	3
Cameroon	2	4
Canada	12	5
Cape Verde	1	6
Congo	1	7
Croatia	4	8
Democratic Republic of the Congo	2	9
Dominican Republic	2	10
France	10	11
Georgia	1	12
Germany	3	13
Greece	1	14
Israel	1	15
Italy	3	16
Latvia	1	17
Lithuania	2	18
Montenegro	3	19
New Zealand	1	20
Nigeria	1	21
Poland	1	22
Puerto Rico	1	23
Russia	3	24
Senegal	1	25
Serbia	3	26
Slovenia	3	27
South Sudan	1	28
Spain	4	29
Sweden	1	30
Switzerland	2	31
Tunisia	1	32
Turkey	3	33
Ukraine	1	34
US Virgin Islands	1	35
Venezuela	1	36
